@relation '11-12-2008-http-smtp-ftp-weka.filters.unsupervised.attribute.Remove-R1-3,8-9,18-weka.filters.unsupervised.attribute.Remove-R1,4,7,10-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R3-4'

@attribute ip_flags numeric
@attribute ip_ttl numeric
@attribute tcp_winsize numeric
@attribute tcp_data_len numeric
@attribute tcp_flow_dir numeric
@attribute app_proto_name {http,ftp-c,smtp}

@data
2,64,5840,461,1,http
0,128,64240,1375,2,http
2,64,8250,451,1,http
0,128,64240,804,2,http
2,64,11000,463,1,http
0,128,64240,816,2,http
2,64,5840,473,1,http
2,64,13750,460,1,http
0,128,64240,1460,2,http
0,128,64240,1371,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1312,2,http
0,128,64240,45,2,smtp
2,64,5840,23,1,smtp
0,128,64240,42,2,smtp
0,128,64240,14,2,smtp
2,64,5840,32,1,smtp
0,128,64240,41,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,6,1,smtp
0,128,64240,35,2,smtp
2,64,5840,375,1,smtp
0,128,64240,8,2,smtp
2,64,5840,6,1,smtp
0,128,64240,42,2,smtp
0,128,64240,45,2,smtp
2,64,5840,23,1,smtp
0,128,64240,42,2,smtp
0,128,64240,14,2,smtp
2,64,5840,32,1,smtp
0,128,64240,41,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,17,1,smtp
0,128,64240,28,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,6,1,smtp
0,128,64240,35,2,smtp
2,64,5840,414,1,smtp
0,128,64240,8,2,smtp
2,64,5840,6,1,smtp
0,128,64240,42,2,smtp
0,128,64240,45,2,smtp
2,64,5840,23,1,smtp
0,128,64240,42,2,smtp
0,128,64240,14,2,smtp
2,64,5840,32,1,smtp
0,128,64240,41,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,17,1,smtp
0,128,64240,28,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,6,1,smtp
0,128,64240,35,2,smtp
2,64,5840,597,1,smtp
0,128,64240,8,2,smtp
2,64,5840,6,1,smtp
0,128,64240,42,2,smtp
0,128,64240,45,2,smtp
2,64,5840,23,1,smtp
0,128,64240,42,2,smtp
0,128,64240,14,2,smtp
2,64,5840,32,1,smtp
0,128,64240,41,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,17,1,smtp
0,128,64240,28,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,6,1,smtp
0,128,64240,35,2,smtp
2,64,5840,487,1,smtp
0,128,64240,8,2,smtp
2,64,5840,6,1,smtp
0,128,64240,42,2,smtp
0,128,64240,45,2,smtp
2,64,5840,23,1,smtp
0,128,64240,42,2,smtp
0,128,64240,14,2,smtp
2,64,5840,32,1,smtp
0,128,64240,41,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,6,1,smtp
0,128,64240,35,2,smtp
2,64,5840,373,1,smtp
0,128,64240,8,2,smtp
2,64,5840,6,1,smtp
0,128,64240,42,2,smtp
0,128,64240,45,2,smtp
2,64,5840,23,1,smtp
0,128,64240,42,2,smtp
0,128,64240,14,2,smtp
2,64,5840,32,1,smtp
0,128,64240,41,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,6,1,smtp
0,128,64240,35,2,smtp
2,64,5840,375,1,smtp
0,128,64240,8,2,smtp
2,64,5840,6,1,smtp
0,128,64240,42,2,smtp
0,128,64240,45,2,smtp
2,64,5840,23,1,smtp
0,128,64240,42,2,smtp
0,128,64240,14,2,smtp
2,64,5840,32,1,smtp
0,128,64240,41,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,6,1,smtp
0,128,64240,35,2,smtp
2,64,5840,375,1,smtp
0,128,64240,8,2,smtp
2,64,5840,6,1,smtp
0,128,64240,42,2,smtp
0,128,64240,45,2,smtp
2,64,5840,23,1,smtp
0,128,64240,42,2,smtp
0,128,64240,14,2,smtp
2,64,5840,32,1,smtp
0,128,64240,41,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,17,1,smtp
0,128,64240,28,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,6,1,smtp
0,128,64240,35,2,smtp
2,64,5840,571,1,smtp
0,128,64240,8,2,smtp
2,64,5840,6,1,smtp
0,128,64240,42,2,smtp
0,128,64240,45,2,smtp
2,64,5840,23,1,smtp
0,128,64240,42,2,smtp
0,128,64240,14,2,smtp
2,64,5840,32,1,smtp
0,128,64240,41,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,6,1,smtp
0,128,64240,35,2,smtp
2,64,5840,375,1,smtp
0,128,64240,8,2,smtp
2,64,5840,6,1,smtp
0,128,64240,42,2,smtp
0,128,64240,45,2,smtp
2,64,5840,23,1,smtp
0,128,64240,42,2,smtp
0,128,64240,14,2,smtp
2,64,5840,32,1,smtp
0,128,64240,41,2,smtp
2,64,5840,18,1,smtp
0,128,64240,29,2,smtp
2,64,5840,6,1,smtp
0,128,64240,35,2,smtp
2,64,5840,558,1,smtp
0,128,64240,8,2,smtp
2,64,5840,6,1,smtp
0,128,64240,42,2,smtp
0,128,64240,45,2,smtp
2,64,5840,23,1,smtp
0,128,64240,42,2,smtp
0,128,64240,14,2,smtp
2,64,5840,32,1,smtp
