@relation traning_set_new-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1

@attribute ip_flags numeric
@attribute ip_ttl numeric
@attribute tcp_winsize numeric
@attribute tcp_data_len numeric
@attribute tcp_flow_dir numeric
@attribute app_proto_name {http,ftp-c,smtp,trojans}

@data
2,64,5840,604,1,http
0,128,64240,478,2,http
2,64,5840,608,1,http
0,128,64240,408,2,http
2,64,5840,612,1,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,318,2,http
2,64,14300,635,1,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,787,2,http
2,64,5840,627,1,http
0,128,64240,125,2,http
2,64,5840,663,1,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1460,2,http
0,128,64240,1400,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1430,2,http
0,128,64240,1100,2,http
2,64,5840,495,1,http
2,64,5840,474,1,http
0,128,64240,1430,2,http
0,128,64240,810,2,http
2,64,11440,484,1,http
0,128,64240,1430,2,http
0,128,64240,740,2,http
2,64,11440,505,1,http
2,64,5840,470,1,http
0,128,64240,1430,2,http
0,128,64240,652,2,http
2,64,5840,488,1,http
2,64,5840,488,1,http
0,128,64240,1430,2,http
0,128,64240,1156,2,http
2,64,5840,478,1,http
0,128,64240,1460,2,http
0,128,64240,60,2,http
2,64,17160,480,1,http
0,128,64240,1460,2,http
0,128,64240,293,2,http
2,64,11680,493,1,http
0,128,64240,1430,2,http
0,128,64240,981,2,http
0,128,64240,1430,2,http
0,128,64240,611,2,http
2,64,5840,470,1,http
2,64,5840,513,1,http
2,64,5840,488,1,http
2,64,11440,488,1,http
2,64,5840,490,1,http
0,128,64240,1430,2,http
0,128,64240,409,2,http
0,128,64240,1430,2,http
2,64,22880,487,1,http
0,128,64240,1172,2,http
2,64,5840,489,1,http
0,128,64240,1460,2,http
0,128,64240,160,2,http
2,64,5840,488,1,http
0,128,64240,1430,2,http
0,128,64240,756,2,http
0,128,64240,1383,2,http
0,128,64240,807,2,http
0,128,64240,1430,2,http
0,128,64240,875,2,http
0,128,64240,1460,2,http
0,128,64240,717,2,http
0,128,64240,1430,2,http
0,128,64240,405,2,http
2,64,5840,495,1,http
2,64,5840,480,1,http
0,128,64240,1430,2,http
0,128,64240,1268,2,http
2,64,11440,483,1,http
2,64,11440,494,1,http
0,128,64240,1447,2,http
2,64,11440,484,1,http
2,64,16060,505,1,http
2,64,11440,482,1,http
0,128,64240,1430,2,http
2,64,11064,505,1,http
0,128,64240,454,2,http
0,128,64240,1430,2,http
0,128,64240,663,2,http
0,128,64240,1430,2,http
0,128,64240,792,2,http
0,128,64240,1460,2,http
0,128,64240,222,2,http
0,128,64240,1144,2,http
0,128,64240,1430,2,http
0,128,64240,684,2,http
0,128,64240,1460,2,http
0,128,64240,234,2,http
0,128,64240,1430,2,http
0,128,64240,566,2,http
2,64,5840,650,1,http
0,128,64240,659,2,http
2,64,5840,616,1,http
0,128,64240,701,2,http
2,64,5840,751,1,http
0,128,64240,1448,2,http
0,128,64240,1448,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,815,2,http
2,64,5840,387,1,http
0,128,64240,520,2,http
2,64,5840,391,1,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
2,64,5840,383,1,http
2,64,5840,400,1,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
2,64,5840,436,1,http
2,64,5840,414,1,http
2,64,5840,414,1,http
2,64,5840,422,1,http
2,64,5840,455,1,http
0,128,64240,1460,2,http
0,128,64240,219,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,457,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,314,2,http
0,128,64240,726,2,http
0,128,64240,327,2,http
0,128,64240,1460,2,http
0,128,64240,1428,2,http
0,128,64240,960,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
2,64,5840,419,1,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
2,64,5840,540,1,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
2,64,5840,424,1,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,639,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,681,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,305,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
2,64,5840,398,1,http
2,64,5840,424,1,http
2,64,5840,424,1,http
0,128,64240,1102,2,http
2,64,5840,424,1,http
2,64,5840,540,1,http
0,128,64240,1460,2,http
0,128,64240,1231,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1415,2,http
2,64,5840,424,1,http
2,64,5840,426,1,http
0,128,64240,1427,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,765,2,http
2,64,5840,510,1,http
2,64,5840,421,1,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1157,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1119,2,http
0,128,64240,438,2,http
2,64,5840,547,1,http
2,64,5840,414,1,http
0,128,64240,1097,2,http
2,64,5840,495,1,http
2,64,5840,384,1,http
0,128,64240,302,2,http
0,128,64240,681,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,564,2,http
0,128,64240,1460,2,http
0,128,64240,483,2,http
2,64,5840,642,1,http
2,64,7714,421,1,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,940,2,http
2,64,5840,528,1,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
2,64,5840,620,1,http
2,64,5840,524,1,http
2,64,5840,642,1,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,304,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
2,64,5840,662,1,http
0,128,64240,1460,2,http
0,128,64240,1314,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1154,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,914,2,http
0,128,64240,771,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,467,2,http
2,64,5840,633,1,http
2,64,5840,662,1,http
2,64,5840,649,1,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
2,64,5840,496,1,http
2,64,5840,650,1,http
2,64,5840,738,1,http
2,64,5840,547,1,http
0,128,64240,649,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,914,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
2,64,5840,662,1,http
2,64,5840,507,1,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1077,2,http
0,128,64240,449,2,http
0,128,64240,1427,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,349,2,http
2,64,5840,856,1,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,649,2,http
0,128,64240,435,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,449,2,http
0,128,64240,997,2,http
0,128,64240,1460,2,http
0,128,64240,1067,2,http
0,128,64240,1460,2,http
2,64,5840,535,1,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
2,64,5840,521,1,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1182,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,824,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1129,2,http
2,64,5840,439,1,http
2,64,5840,543,1,http
0,128,64240,208,2,http
2,64,5840,528,1,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,45,2,http
2,64,5840,545,1,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,137,2,http
0,128,64240,467,2,http
0,128,64240,1007,2,http
2,64,5840,502,1,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,7,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
2,64,5840,752,1,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,3,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,1460,2,http
0,128,64240,819,2,http
2,64,5840,779,1,http
2,64,5840,827,1,http
0,128,64240,333,2,http
0,128,64240,449,2,http
2,64,5840,492,1,http
0,128,64240,473,2,http
2,64,5840,481,1,http
0,128,64240,1214,2,http
2,64,5840,553,1,http
0,128,64240,1320,2,http
